,Date,Open,High,Low,Close,SDMAVG(50),SMAVG(100),,Open Int ,SMAVG(15),,,,
Tu,6/26/2018,8.4,8.4,6.15,6.75,12.87,12.99,,,,,,,
Mo,6/25/2018,10.1,10.5,6.35,7.42,12.85,13.12,,36162,28500,,,,
,,,,,,,,,,,,,,
Fr,6/22/2018,15,15,13.44,13.97,12.8,13.33,,33259,27522,,,,
Th,6/21/2018,17.2,17.2,14,14.85,12.65,13.43,,33227,26755,,,,
We,6/20/2018,17.9,18.85,17.55,17.99,12.48,13.56,,32930,25985,,,,
Tu,6/19/2018,15.05,16.43,12.9,16.43,12.27,13.66,,33245,25137,,,,
Mo,6/18/2018,17.7,19.96,17.12,19.96,12.05,13.73,,33128,24213,,,,
,,,,,,,,,,,,,,
Fr,6/15/2018,18.48,21.3,18.48,19.56,11.75,13.74,,32079,23201,,,,
Th,6/14/2018,20.85,22.55,19.75,22.45,11.48,13.73,,28377,22067,,,,
We,6/13/2018,21.1,21.1,18.7,18.7,11.15,13.65,,24076,21002,,,,
Tu,6/12/2018,19.75,21.18,19.25,20.79,10.93,13.61,,24165,20241,,,,
Mo,6/11/2018,18.4,19.17,17.7,18,10.69,13.55,,24209,19478,,,,
,,,,,,,,,,,,,,
Fr,6/8/2018,14.85,18.7,14.83,17.67,10.57,13.52,,24250,18713,,,,
Th,6/7/2018,19.92,20.25,14.85,16.7,10.41,13.47,,24229,17913,,,,
We,6/6/2018,21.75,21.99,19.64,20.15,10.3,13.47,,23499,17116,,,,
Tu,6/5/2018,21.4,23.5,19.8,20.48,10.2,13.43,,20663,16391,,,,
Mo,6/4/2018,18,21.93,17.78,20.9,10.02,13.4,,21489,15819,,,,
,,,,,,,,,,,,,,
Fr,6/1/2018,14.2,18.2,14.2,17.4,9.87,13.37,,21754,15187,,,,
Th,5/31/2018,13.45,13.9,12.4,13.2,9.89,13.37,,21683,14541,,,,
We,5/30/2018,14.45,14.9,12.85,13.15,10.05,13.42,,20202,13913,,,,
Tu,5/29/2018,13.7,16.47,12.7,13.19,10.15,13.43,,19390,13391,,,,
,,,,,,,,,,,,,,
Fr,5/25/2018,13.15,16.05,13.15,14.25,10.33,13.44,,17957,12917,,,,
Th,5/24/2018,13.24,14.5,12.15,13.18,10.47,13.44,,15065,12625,,,,
We,5/23/2018,10.9,12.5,10.05,12.3,10.52,13.4,,12404,12501,,,,
Tu,5/22/2018,13.7,13.7,11.95,11.95,10.57,13.36,,12653,12488,,,,
Mo,5/21/2018,13.69,14.93,13,13.44,10.68,13.34,,12722,12329,,,,
,,,,,,,,,,,,,,
Fr,5/18/2018,13.3,13.3,11.71,11.83,10.72,13.3,,12738,12152,,,,
Th,5/17/2018,12.46,14.15,12.46,12.75,10.78,13.29,,12251,11968,,,,
We,5/16/2018,13.5,15.25,13.5,14.2,10.84,13.27,,12271,11808,,,,
Tu,5/15/2018,12.5,13.2,11.84,13.11,10.86,13.22,,12625,11628,,,,
Mo,5/14/2018,13.2,15.6,13.2,14.53,10.82,13.19,,12082,11450,,,,
,,,,,,,,,,,,,,
Fr,5/11/2018,12.95,13.6,11.58,12.05,10.76,13.15,,12014,11298,,,,
Th,5/10/2018,13.25,15.72,12.83,12.9,10.78,13.13,,12061,11148,,,,
We,5/9/2018,13.25,14.15,12.6,12.83,10.81,13.12,,12267,10988,,,,
Tu,5/8/2018,12.46,14.25,12,13.42,10.87,13.1,,12372,10686,,,,
Mo,5/7/2018,10.1,14.25,10.1,13.4,10.97,13.1,,12269,10371,,,,
,,,,,,,,,,,,,,
Fr,5/4/2018,6.04,10.45,5.7,9.65,11.07,13.1,,13588,10058,,,,
Th,5/3/2018,8.06,8.2,5.75,7.7,11.19,13.11,,13200,9658,,,,
We,5/2/2018,7.1,8.66,7.1,7.6,11.36,13.15,,12210,9281,,,,
Tu,5/1/2018,6.83,7.2,6.3,6.55,11.5,13.18,,10258,8955,,,,
Mo,4/30/2018,6.44,7.1,6.05,6.74,11.64,13.23,,10073,8765,,,,
,,,,,,,,,,,,,,
Fr,4/27/2018,6.25,6.25,5.36,6.15,11.82,13.29,,9985,8582,,,,
Th,4/26/2018,5,5.71,4.49,5.35,12,13.37,,9852,8405,,,,
We,4/25/2018,4.5,4.5,3.68,4.2,12.14,13.47,,9570,8236,,,,
Tu,4/24/2018,6.45,6.7,4.85,5.25,12.29,13.61,,9956,8081,,,,
Mo,4/23/2018,7.6,7.6,6.08,6.37,12.44,13.75,,9798,7894,,,,
,,,,,,,,,,,,,,
Fr,4/20/2018,7.15,8.21,7.1,7.45,12.54,13.89,,9762,7710,,,,
Th,4/19/2018,9.05,9.05,7.55,8.5,12.67,14.02,,9657,7530,,,,
We,4/18/2018,7.75,9,7.05,9,12.8,14.14,,7739,7352,,,,
Tu,4/17/2018,5.75,7.3,5.75,7.18,12.92,14.25,,7648,7301,,,,
Mo,4/16/2018,5.05,5.57,4.65,5.57,13.12,,,7572,7256,,,,
,,,,,,,,,,,,,,
Fr,4/13/2018,5.8,5.8,4.98,4.98,13.38,,,7587,7208,,,,
Th,4/12/2018,6.77,7,6.34,6.66,13.85,,,7547,7082,,,,
We,4/11/2018,7.4,7.6,6.43,6.43,14.22,,,7328,6948,,,,
Tu,4/10/2018,6.9,7.75,6.45,7.3,14.63,,,7396,6829,,,,
Mo,4/9/2018,5.15,6.05,5.1,5.3,15.04,,,7335,6709,,,,
,,,,,,,,,,,,,,
Fr,4/6/2018,5.55,5.86,4.79,4.87,15.41,,,7333,6590,,,,
Th,4/5/2018,7.62,7.75,5.85,6.1,15.74,,,7311,6471,,,,
We,4/4/2018,5.25,6.3,5.25,6.27,15.99,,,7241,6357,,,,
Tu,4/3/2018,9,9.26,7.2,7.45,16.15,,,7156,6253,,,,
Mo,4/2/2018,11.46,11.46,8.62,8.95,16.29,,,7045,6136,,,,
,,,,,,,,,,,,,,
Th,3/29/2018,10.45,12,9.6,11.85,16.41,,,7059,6047,,,,
We,3/28/2018,11.55,11.65,9.65,9.75,16.46,,,6985,5962,,,,
Tu,3/27/2018,15.7,15.7,10.4,10.99,16.54,,,6971,5890,,,,
Mo,3/26/2018,15,15.3,12.8,15.3,16.64,,,6980,5823,,,,
,,,,,,,,,,,,,,
Fr,3/23/2018,15,15,11.5,11.5,16.66,,,6850,5755,,,,
Th,3/22/2018,16.2,16.85,13,13.25,16.78,,,5698,5685,,,,
We,3/21/2018,20.2,20.2,18.55,18.86,16.88,,,5536,5693,,,,
Tu,3/20/2018,20.5,21.04,20.17,20.95,16.85,,,5543,5717,,,,
Mo,3/19/2018,19.73,20.26,17.5,18.2,16.78,,,5596,5707,,,,
,,,,,,,,,,,,,,
Fr,3/16/2018,20.1,21.9,20.1,21.9,16.72,,,5552,5670,,,,
Th,3/15/2018,20,22.5,19.29,21.35,16.56,,,5544,5635,,,,
We,3/14/2018,16,17.2,15.5,16,16.41,,,5595,5601,,,,
Tu,3/13/2018,17.7,17.7,14.49,14.49,16.27,,,5682,5562,,,,
Mo,3/12/2018,17.55,18,16.55,17.5,16.16,,,5398,5519,,,,
,,,,,,,,,,,,,,
Fr,3/9/2018,15.5,15.95,14.75,15.75,16,,,5717,5495,,,,
Th,3/8/2018,15.26,15.26,14.35,14.74,15.87,,,5778,5448,,,,
We,3/7/2018,14.38,15.7,14.38,15.7,15.79,,,5904,5395,,,,
Tu,3/6/2018,14.19,15.21,13.9,14.94,15.7,,,5967,5332,,,,
Mo,3/5/2018,12.06,12.06,10.54,11.3,15.59,,,5961,5259,,,,
,,,,,,,,,,,,,,
Fr,3/2/2018,11.32,11.58,10.65,11.45,15.56,,,5800,5185,,,,
Th,3/1/2018,15.1,15.1,12.5,12.9,15.54,,,5829,5123,,,,
We,2/28/2018,15.05,15.25,14.4,14.81,15.48,,,5888,5070,,,,
Tu,2/27/2018,17.47,17.6,15.2,15.8,15.43,,,5390,5013,,,,
Mo,2/26/2018,18.75,19.1,16.9,18.37,15.34,,,5048,4979,,,,
,,,,,,,,,,,,,,
Fr,2/23/2018,16.82,18.25,16.25,18.25,15.24,,,5030,4965,,,,
Th,2/22/2018,17.05,17.05,15.4,15.45,15.13,,,5025,4937,,,,
We,2/21/2018,16.6,18.3,16.36,16.36,15.04,,,5015,4889,,,,
Tu,2/20/2018,14.15,15.86,14.1,14.8,14.93,,,5042,4839,,,,
,,,,,,,,,,,,,,
Fr,2/16/2018,15.29,15.38,13.53,13.59,14.86,,,5033,4785,,,,
Th,2/15/2018,17.05,17.05,14.66,15.37,14.81,,,5009,4735,,,,
We,2/14/2018,12.3,15.48,12.3,15.48,14.77,,,4990,4668,,,,
Tu,2/13/2018,12.4,13.35,12.16,12.16,14.74,,,4949,4591,,,,
Mo,2/12/2018,12.8,12.8,11.7,11.85,14.8,,,4871,4512,,,,
,,,,,,,,,,,,,,
Fr,2/9/2018,11.61,12.8,10,12.8,14.93,,,4852,4445,,,,
Th,2/8/2018,13.3,13.3,10.8,11.2,15.06,,,4875,4376,,,,
We,2/7/2018,15.9,16.5,14.2,14.2,15.25,,,5035,4300,,,,
Tu,2/6/2018,13,15.39,12.95,15,15.37,,,5034,4212,,,,
Mo,2/5/2018,14.8,17.8,14.05,14.8,15.48,,,4870,4121,,,,
,,,,,,,,,,,,,,
Fr,2/2/2018,20.09,21.07,16.25,16.96,15.59,,,4849,4004,,,,
Th,2/1/2018,18.88,23.1,18.7,19,,,,4603,3886,,,,
We,1/31/2018,27.25,28.94,27.25,28.4,,,,4305,3776,,,,
Tu,1/30/2018,23.5,26.75,23.5,24.8,,,,4265,3680,,,,
Mo,1/29/2018,28,28.52,27,27.3,,,,4240,3559,,,,
,,,,,,,,,,,,,,
Fr,1/26/2018,24.35,27.95,24.35,27.85,,,,4273,3432,,,,
Th,1/25/2018,22.4,24.1,21.33,23.45,,,,4003,3267,,,,
We,1/24/2018,21.15,23,19.5,21.44,,,,3842,3120,,,,
Tu,1/23/2018,15.76,18.81,15.7,18.81,,,,3756,2964,,,,
Mo,1/22/2018,14.45,14.45,13.15,14.17,,,,3878,2810,,,,
,,,,,,,,,,,,,,
Fr,1/19/2018,13.9,14.35,13.9,14.35,,,,3806,2648,,,,
Th,1/18/2018,15.05,15.05,14.1,14.8,,,,3744,2491,,,,
We,1/17/2018,14,14.79,12.65,14.79,,,,3712,2338,,,,
Tu,1/16/2018,17.68,18.33,13.4,13.4,,,,3675,2187,,,,
,,,,,,,,,,,,,,
Fr,1/12/2018,17.49,17.49,15.85,15.99,,,,3104,2038,,,,
Th,1/11/2018,17.48,17.48,16.5,16.6,,,,3078,1927,,,,
We,1/10/2018,16,17.75,16,17.43,,,,2957,1751,,,,
Tu,1/9/2018,18.07,18.85,16.5,18.05,,,,2862,1579,,,,
Mo,1/8/2018,17.87,18.21,17.45,17.48,,,,2460,1414,,,,
,,,,,,,,,,,,,,
Fr,1/5/2018,16.06,17.6,15.9,17.6,,,,2337,1275,,,,
Th,1/4/2018,15.6,15.8,14.5,14.8,,,,1791,1144,,,,
We,1/3/2018,14.5,14.5,12.9,14,,,,1802,1049,,,,
Tu,1/2/2018,10.05,14.1,10.05,14.1,,,,1492,953,,,,
,,,,,,,,,,,,,,
Fr,12/29/2017,8.93,8.93,8.93,8.93,,,,1452,868,,,,
Th,12/28/2017,8.94,8.94,8.94,8.94,,,,1451,783,,,,
We,12/27/2017,9.48,9.55,9.48,9.55,,,,1451,699,,,,
Tu,12/26/2017,9.15,9.35,9.15,9.29,,,,1448,614,,,,
,,,,,,,,,,,,,,
Fr,12/22/2017,10.7,10.7,10.65,10.65,,,,1442,530,,,,
Th,12/21/2017,10,11,10,11,,,,1437,444,,,,
We,12/20/2017,9.65,9.65,9.65,9.65,,,,1449,359,,,,
Tu,12/19/2017,10.1,10.1,9.5,9.54,,,,429,273,,,,
Mo,12/18/2017,10.95,10.95,10.55,10.55,,,,386,254,,,,
,,,,,,,,,,,,,,
Fr,12/15/2017,10.3,10.3,9.9,10,,,,380,237,,,,
Th,12/14/2017,,,,,,,,376,219,,,,
We,12/13/2017,12.15,12.15,12.15,12.15,,,,376,200,,,,
Tu,12/12/2017,12.45,12.45,11.25,11.25,,,,371,179,,,,
Mo,12/11/2017,13.26,13.55,13.26,13.5,,,,361,158,,,,
,,,,,,,,,,,,,,
Fr,12/8/2017,13.35,13.35,12.68,12.68,,,,205,,,,,
Th,12/7/2017,11.3,11.3,11.3,11.3,,,,189,,,,,
We,12/6/2017,10.3,10.92,10.3,10.88,,,,189,,,,,
Tu,12/5/2017,11.2,11.2,11,11,,,,179,,,,,
Mo,12/4/2017,12.45,12.45,10.83,11.32,,,,178,,,,,
,,,,,,,,,,,,,,
Fr,12/1/2017,14.75,14.75,13.4,13.4,,,,162,,,,,
Th,11/30/2017,13.95,14.89,13.64,13.85,,,,155,,,,,
We,11/29/2017,16.81,16.81,14.4,14.95,,,,157,,,,,
Tu,11/28/2017,19.7,19.7,18.4,18.68,,,,144,,,,,
Mo,11/27/2017,19.88,20.31,19,19,,,,133,,,,,
,,,,,,,,,,,,,,
Fr,11/24/2017,20.5,20.7,20.5,20.7,,,,107,,,,,
We,11/22/2017,21.09,21.09,20.14,20.24,,,,95,,,,,
Tu,11/21/2017,20.65,21.1,20.65,20.7,,,,64,,,,,
Mo,11/20/2017,19.65,20,19.65,20,,,,51,,,,,
