,Date,Open,High,Low,Close
Tu,6/26/2018,13.15,14,12.4,12.9
Mo,6/25/2018,17.15,17.15,12.4,14
,,,,,
Fr,6/22/2018,19.13,19.74,19,19.67
Th,6/21/2018,22,22,19.7,20.05
We,6/20/2018,23.29,23.29,22.4,22.87
Tu,6/19/2018,21,21.17,18.49,21.17
Mo,6/18/2018,22.2,23.96,22.2,23.96
,,,,,
Fr,6/15/2018,23,25.37,22.9,23.76
Th,6/14/2018,24,26.2,24,26.2
We,6/13/2018,25.2,25.2,23.7,23.7
Tu,6/12/2018,24,25.36,24,25.13
Mo,6/11/2018,23.15,23.5,22.6,22.96
,,,,,
Fr,6/8/2018,19.6,23.21,19.6,22.37
Th,6/7/2018,25.85,25.85,20,21.55
We,6/6/2018,24.1,24.65,24.1,24.65
Tu,6/5/2018,27.39,27.39,24.55,25
Mo,6/4/2018,23.4,26.21,23.4,25.8
,,,,,
Fr,6/1/2018,20.2,22.55,19.3,22.03
Th,5/31/2018,18.88,18.88,18.08,18.2
We,5/30/2018,18.65,18.65,18.45,18.5
Tu,5/29/2018,18.75,20.65,18.25,18.25
,,,,,
Fr,5/25/2018,18.2,20.3,18.2,20.3
Th,5/24/2018,18,18.17,18,18.15
We,5/23/2018,15.55,17.5,15.5,17.5
Tu,5/22/2018,18.02,18.02,17.5,17.5
Mo,5/21/2018,19.3,19.3,18.4,18.4
,,,,,
Fr,5/18/2018,17.51,17.51,17,17
