Strike,Date,Bid,Ask,Last,IVM,Volm
98,6/15/2018,1.949999809,1.980000496,1.930000305,19.00372124,827
98.5,6/15/2018,1.630000114,1.710000038,1.730000496,18.77144814,832
99,6/15/2018,1.380000114,1.420000076,1.480000496,18.5272522,941
99.5,6/15/2018,1.140000343,1.180000305,1.159999847,18.32316971,1975
100,6/15/2018,0.930000007,0.959999979,0.970000029,18.09160233,6418
92.5,7/20/2018,7.600000381,7.650000572,7.75,24.15866661,158
95,7/20/2018,5.699999809,5.800000191,5.690000534,23.43639183,2258
97.5,7/20/2018,4.050000191,4.150000572,4.100000381,22.57638359,1346
100,7/20/2018,2.710000038,2.760000229,2.770000458,21.72957039,6709
105,7/20/2018,0.959999979,1.010000229,1,20.53838158,2491
92.5,8/17/2018,8.149999619,8.300000191,8.909999847,22.99534225,47
95,8/17/2018,6.300000191,6.400000572,6.449999809,21.97138214,550
97.5,8/17/2018,4.699999809,4.800000191,4.659999847,21.45508766,329
100,8/17/2018,3.350000381,3.449999809,3.5,20.85853577,1002
105,8/17/2018,1.480000496,1.510000229,1.5,19.80772972,2827
92.5,9/21/2018,8.699999809,8.800000191,9,22.30401611,69
95,9/22/2018,6.949999809,7.050000191,6.940000534,21.71954727,154
97.5,9/23/2018,5.350000381,5.449999809,5.449999809,20.90366364,302
100,9/24/2018,4,4.100000381,4.150000572,20.29875755,625
105,9/25/2018,2.069999695,2.119999886,2.079999924,19.56285095,1329
92.5,10/19/2018,9.25,9.350000381,10.11999989,22.19890404,6
95,10/20/2018,7.550000191,7.650000572,7.800000191,21.65348053,331
97.5,10/21/2018,6,6.100000381,6.06000042,21.03600121,146
100,10/22/2018,4.650000572,4.75,4.75,20.48909187,253
105,10/23/2018,2.600000381,2.690000534,2.650000572,19.73668289,339
92.5,1/18/2019,10.69999981,10.89999962,10.72999954,22.26333618,67
95,1/19/2019,9.149999619,9.300000191,9.170000076,21.93019676,187
97.5,1/20/2019,7.650000572,7.849999428,7.780000687,21.48486328,280
100,1/21/2019,6.350000381,6.5,6.36000061,21.07853317,605
105,1/22/2019,4.149999619,4.300000191,4.300000191,20.33825874,218
92.5,6/21/2019,13.10000038,13.25,0,23.23472214,0
95,6/22/2019,11.60000038,11.80000019,11.80000019,22.95483589,15
97.5,6/23/2019,10.19999981,10.44999981,10.82999992,22.67611313,9
100,6/24/2019,8.899999619,9.149999619,9.100000381,22.33222198,35
105,6/25/2019,6.699999809,6.900000572,6.800000191,21.81915855,178
92.5,1/17/2020,15.75,16.05000305,16.6000061,23.83087349,40
95,1/18/2020,14.35000038,14.64999962,14.64999962,23.58592415,50
97.5,1/19/2020,13.05000019,13.35000038,13.64999962,23.39194298,20
100,1/20/2020,11.80000019,12.10000038,12,23.13809586,140
105,1/21/2020,9.600000381,9.850000381,9.659999847,22.73703957,32
